,Name,Review_raw,Overall,Food,Service,Ambiance
0,Paul,Food was fine but not inspired as the prices would imply. Will try elsewhere next time.,3,3,4,3
1,steve,"Very good service. Friendly and helpful.
Food was very, very good",5,5,5,4
2,OpenTable Diner,10 out 10 recommend.... The entire experience was overwhelming amazing.  The entire staff was friendly and helpful.  I must start with the bread an assortment of delicious baked soft bread with olive oil. The crab cakes were moist paired with a pumpkin/squash hash ... Everything melted in my mouth. . We also had dessert. My husband and I now have a favorite restaurant..,5,5,5,5
3,Eric,The staff put together a great tasting menu and win pairing for us,5,5,5,4
4,Mary,"Excellent, friendly service from initial greeting through wait staff.  Lobster appetizer and crab cakes were delicately seasoned and very nice.  Adequate table space so that we didn't feel too crowded.  Fine place for birthday celebration with my husband.",5,5,5,5
5,Jerry,"Great food and service in great setting.  Back room
Is perfect for special occasions.",5,5,5,5
6,Barry,Excellent food. I chose gosh from the case and asked for certain rides with it. They accommodated us well.,4,5,4,3
7,Donald,The food and service were simply first rate. Thank you.,4,5,5,4
8,Irma,Great Food! Exceptional staff! Our server Erica was just outstanding!,5,5,5,5
9,Sharon,The tuna and halibut were outstanding. Oysters too were great.,5,5,5,5
10,Rhonda,"Very good, service was awesome! Birthday dinner with my family and Black Salt did not disappoint. Thank you for making my day special 😘❤",5,5,5,5
11,Murat,BS is my favorite seafood place. Their oysters are the best! Always fresh.,5,5,5,4
12,Paul,"A favorite.  Such a nice experience, every time.",5,5,5,5
13,Nick,"My wife and I have chosen Black Salt for special occasion dinners over the years and have never had less than an exemplary experience.  It's not inexpensive but the quality of the seafood, presentation and service are outstanding.",5,5,5,4
14,Lynne,"Grilled sardines were great but Halibut overcooked and dry.
Plum tart sweet and good.

Very cold in back room.",4,3,5,5
15,Jill,All our dishes were outstanding.  The service was attentive but not fussy.  Highly recommend,5,5,4,4
16,Anne,"Another wonderful experience at Black Salt. Attentive, energetic staff, great ambience, easy to converse. The food is extraordinary, always fresh, a seafood haven. The seafood ceviche is my favorite appetizer, plenty to share or savor on your own.
The tuna poke bowl is great as an entree or starter if really hungry.  You cannot go wrong with any dish on the menu.
The key lime pie is always my go to dessert.
Worth the visit for any occasion.",5,5,5,5
17,Catherine,We love this restaurant and have been many times. But in our experience they have chronic time management problems. We may find another favorite place.,3,4,5,4
18,Shawn,Great food and great service!  Made our birthday celebration special!,5,5,5,4
19,Olena,"Overpriced. Food was plain. Crab Cakes had shells crumbs, nothing special, no flavor. Asked for decaf cappuccino four times, they brought me regular cappuccino after all. We paid $200 for lunch for 3 people.",3,1,3,4
20,Felicia,Service and food excellent as always. The best restaurant in DC.,5,5,5,5
21,SusanP,Just good good food!,5,5,5,5
22,Berinda,We felt rushed. Not accommodating in the back room.  I have never felt like the server wanted us to leave from the moment we sat.,3,3,3,3
23,Natalia,We had a wonderful celebration for my mother’s 81st birthday and we received fantastic service and special little touches along with a fantastic meal. Will definitely be coming back. Bravo!,5,5,5,5
24,Julie Lea,"I was treating my husband's assistant to her annual birthday dinner.  She had never been to Black Salt, and she lived every minute of it.  We started at the Bay with a drink and apps for happy hour then transitioned to a nice quiet booth for dinner.  The service was perfect, and the manager stopped by twice to introduce himself and welcome us.  What a special touch.  Doris will always have a great memory thanks to Black Salt staff!",5,5,5,5
25,Paul,"Great food.   Recommend the mussels and the clam chowder.  Both outstanding.  Great service
and relatively moderate noise levels",5,5,5,5
26,Ronald,"This place gives you a fantastic experience dining. We celebrated our wedding anniversary in the smaller separate room (a bit more quiet and much better ambiance). The service is stellar, as is the food. You can't go wrong with whatever you pick - and this makes it easy, because there are so many items to choose from, and they vary every time we come here. All in all, a superb experience all around.",5,5,5,5
27,Alan,"BlackSalt dinner was outstanding.   To start, they printed Happy Birthday with my name on our menus!   The service was excellent, the bisque, then fish entrees outstanding.   5 stars",5,5,5,5
28,Gaston,"Food: Easily could be a Michelin one-star, original, super fresh seafood, presented very well and with El Buli type sauces.
The Bullabaise had nothing to envy those at Nice and Cannes with great reduction and intense flavor.
The service was a bit inexperienced but very welcoming and overall effective
My only complaint was a significant delay from the appetizer to the main course the kitchen may have been having a hair day but this is easily fixed.
I will go every week if I lived in DC but will return on every trip.",5,5,4,4
29,Joseph,"We had lunch at Black Salt on a Saturday.  I began with fried whole Ispwich clams.  They were among the most flavorful and perfectly prepared fried clams I have ever eaten (and I grew up cooking and eating a lot of fried clams on the Massachusetts coast).  My wife began with the clam chowder.  She commented that it was a bit untraditional from a Massachusetts perspective - fewer potatoes, and closer to a broth than a milky chowder, but a generous portion of clams, as well as some mussels, and  three fried Ipswich clams floating on top of the chowder!  The result was a very flavorful variation on a traditional clam chowder.

For a main course I had the cornmeal crusted fish tacos, which were brimming with fish topped with among other things a delicious ancho chile crema, while my wife had steamed PEI mussels (Addie's version) with a broth of tomato, shallots, garlic, and lemon.  She has eaten a lot of steamed PEI mussels and said the broth and the mussels were superb.

Service could not have been better.  Unobtrusive but very friendly and efficient.  We stayed in our booth talking for over two hours and were not disturbed.

We could not have been more pleased with our meals or the service.",5,5,5,5
30,Barbara,"Always enjoy dining at Black Salt. Fresh fish, good service, nice atmosphere, very quiet usually at lunch, dinner noise a bit more robust.",5,5,5,5
31,Tara,"Amazing food! I went with the roasted chicken soup, the ribeye and the chocolate peanut butter torte for dessert. This was one of the best meals I’ve ever had!",5,5,5,5
32,Jane,Second visit did not disappoint. Exquisite service and privacy in booth welcomed. The food was good but not over the top. Will continue to visit.,5,4,5,5
